Nom de l'Activité;Adresse;Téléphone / Contact;Horaires;Catégories
AQUARIUM DE PARIS;5 Av. Albert de Mun, 16e;01 40 69 23 23;"lundi : 09:30–19:00
mardi : 09:30–19:00
mercredi : 09:30–19:00
jeudi : 09:30–19:00
vendredi : 09:30–19:00
samedi : 09:30–19:00
dimanche : 09:30–19:00";Enfant/Famille
CITÉ DES ENFANTS;30 Av. Corentin-Cariou, 19e;01 85 53 99 74;"lundi : Fermé
mardi : 09:15–18:00
mercredi : 09:15–18:00
jeudi : 09:15–18:00
vendredi : 09:15–18:00
samedi : 09:15–18:00
dimanche : 09:15–18:00";Enfant/Famille
JARDIN D'ACCLIMATION;Bois de Boulogne, 16e;01 40 67 90 85;"lundi : 10:00–18:00
mardi : 10:00–18:00
mercredi : 10:00–18:00
jeudi : 10:00–18:00
vendredi : 10:00–18:00
samedi : 10:00–18:00
dimanche : 10:00–18:00";Enfant/Famille
ATELIERS DU LOUVRE;Musée du Louvre, 1er;01 40 20 51 77;"lundi : prendre contact avec le musée
mardi : prendre contact avec le musée mercredi : prendre contact avec le musée
jeudi : prendre contact avec le musée
vendredi : prendre contact avec le musée
samedi : prendre contact avec le musée
dimanche : prendre contact avec le musée";Enfant/Famille
PARC ZOOLOGIQUE;Av. Daumesnil, 12e;01 44 75 20 00;"lundi : prendre contact avec le musée
mardi : prendre contact avec le musée mercredi : prendre contact avec le musée
jeudi : prendre contact avec le musée
vendredi : prendre contact avec le musée
samedi : prendre contact avec le musée
dimanche : prendre contact avec le musée";Enfant/Famille
LA TÊTE DANS LES NUAGES paris opéra;5 Bd des Italiens, 2e;01 40 13 08 08;"lundi : 11:00–00:30
mardi : 11:00–00:30
mercredi : 11:00–00:30
jeudi : 11:00–00:30
vendredi : 11:00–02:00
samedi : 10:00–02:00
dimanche : 10:00–00:30";Enfant/Famille
MUSEE EN HERBE;23 Rue de l'Arbre Sec, 1er;01 40 67 97 66;"lundi : 10:00–19:00
mardi : 10:00–19:00
mercredi : 10:00–19:00
jeudi : 10:00–19:00
vendredi : 10:00–19:00
samedi : 10:00–19:00
dimanche : 10:00–19:00";Enfant/Famille
PHILHARMONIE ENFANTS;221 Av. Jean Jaurès, 19e;01 44 84 44 84;"lundi : Fermé
mardi : 09:30–12:45, 13:30–17:30
mercredi : 10:00–13:00, 14:00–18:00
jeudi : 09:30–12:45, 13:30–17:30
vendredi : 09:30–12:45, 13:30–17:30
samedi : 10:00–13:00, 14:00–18:00
dimanche : 10:00–13:00, 14:00–18:00";Enfant/Famille
PALAIS DE LA DÉCOUVERTE;Av. Franklin Roosevelt, 8e;01 56 43 20 20;"lundi : 09:30–19:00
mardi : 09:30–19:00
mercredi : 09:30–19:00
jeudi : 09:30–19:00
vendredi : 09:30–19:00
samedi : 09:30–19:00
dimanche : 09:30–19:00";Enfant/Famille
ÉCOLE DE CUISINE ALAIN DUCASSE;64 Rue du Ranelagh, 16e;01 44 90 91 00;"lundi : Fermé
mardi : 09:00–18:00
mercredi : 09:00–18:00
jeudi : 09:00–18:00
vendredi : 09:00–18:00
samedi : 09:00–18:00
dimanche : Fermé";Enfant/Famille
LE BON MARCHÉ (Récré);24 Rue de Sèvres, 7e;01 43 21 46 65;"lundi : Fermé
mardi : Fermé
mercredi : 11:00–18:30
jeudi : Fermé
vendredi : Fermé
samedi : 11:00–18:30
dimanche : 11:00–18:30";Enfant/Famille
DISNEYLAND (VIP TOUR);Marne-la-Vallée;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée;Expérience sur mesure;Enfant/Famille
CHASSE AU TRESOR DANS PARIS;Paris;09 72 30 10 31;Expérience sur mesure;Enfant/Famille
CLASSIC 60S;Citroën DS Décapotable;06 88 19 24 79;Expérience sur mesure;Tour Voiture Prestige
PARISI TOUR;Mercedes 280 SE / Peugeot 404;09 82 49 40 54;Expérience sur mesure;Tour Voiture Prestige
6ÈME ÉTOILE;Mercedes Classe S / Vans VIP;01 84 25 96 96;Expérience sur mesure;Tour Voiture Prestige
RIVER LIMOUSINE;Bateau Vénitien;06 86 07 87 37;Expérience sur mesure;Croisière sur la Seine
YACHT JOSÉPHINE;Yacht de Luxe;01 84 80 66 30;Expérience sur mesure;Croisière sur la Seine
PARIS LUXURY BOAT;Canot en acajou;06 60 16 00 78;Expérience sur mesure;Croisière sur la Seine
PÉNICHES DE PARIS;Grande Péniche;01 72 33 95 44;Expérience sur mesure;Croisière sur la Seine
VICTORIA BOAT;Vedette / Yacht;06 31 58 24 34;Expérience sur mesure;Croisière sur la Seine
MY PARIS RIVER;Petit Bateau Privé;06 66 77 43 56;Expérience sur mesure;Croisière sur la Seine
EXCELLENCE;Yacht de Réception;01 44 54 14 69;Expérience sur mesure;Croisière sur la Seine
AEROAFFAIRES;Héliport de Paris;01 44 09 91 82;Expérience sur mesure;Hélicoptère
LOUVRE EXCLUSIF;Musée du Louvre;01 40 20 85 61;Expérience sur mesure;Culture/Visite Guidée/ Excursion
VISITE GUIDÉE MONTMARTRE via Deluxe France;Montmartre;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion
VERSAILLES EXCLUSIF;Chât. de Versailles;01 30 83 78 00;Expérience sur mesure;Culture/Visite Guidée/ Excursion
CRÉATION PARFUM UNIQUE;Maison Guerlain;01 47 48 80 79;Expérience sur mesure;Activité Créative
MONTGOLFIÈRE PRIVÉE;Plusieurs points de départ possible;06 87 78 23 64;Expérience sur mesure;Culture/Visite Guidée/ Excursion
OPERA GARNIER;Opéra Bastille/Garnier;01 71 25 24 23;Expérience sur mesure;Culture/Visite Guidée/ Excursion
VISITE GUIDÉE DU MARAIS;Le Marais;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion
VISITE GUIDÉE ILE DE LA CITÉ - NOTRE DAME;Ile de la cite;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion
AFTER HOUR ACCES OPERA GARNIER;Opéra Bastille/Garnier;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion
TOUR EIFFEL VIP;Tour Eiffel;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion
COURS MACARONS;Paris;09 72 30 10 31;Expérience sur mesure;Activité Créative
VISITE GUIDÉE GIVERNY;Giverny;09 72 30 10 31;Expérience sur mesure;Culture/Visite Guidée/ Excursion