Nom;Adresse;Téléphone;Horaires (Jours et Heures);Type;Style - Ambiance
BAR HEMINGWAY;38 Rue Cambon, 1er;01 43 16 33 74;7j/7 : 17h00 - 00h00;Cocktail Chic;Mythique (Ritz), cuir, cocktails à 34€+, sans résa.
LE RITZ BAR;38 Rue Cambon, 1er;01 43 16 33 74;Mardi-Samedi : 17h00 - 23h30;Chic;Astrologie & Cocktails, service restauration bar.
BAR DU BRISTOL;112 Fbg St-Honoré, 8e*;01 53 43 42 41;Dimanche-Mardi : 18h-00h Jeudi-Samedi : 18h-02h;Chic;DJ, rétro, canapés cosy, on peut y danser.
BAR JOSEPHINE;45 Bd Raspail, 6e;01 49 54 46 00;7j/7 : 17h00 - 01h00;Cocktail Chic;Jazz bar de l'Hôtel Lutetia, fresques, concert.
BUDDHA BAR;8-12 Rue Boissy d'Anglas, 8e;01 53 05 90 00;7j/7 : 18h00 - 02h00;Chic;Statue monumentale, ambiance lounge/monde.
MISS KŌ;49-51 Av. George V, 75008;01 53 67 84 60;7j/7 : 12h00 - 02h00;Chic;Design Starck, néons, très branché.
SKYBAR PARIS;19 Rue Cdt Mouchotte, 14e;01 44 36 44 36;Dimanche-Mercredi : 18h-01h / Jeudi-Samedi : 18h-02h;Rooftop;Vue panoramique, DJ, cocktails & tapas.
PERRUCHE;2 Rue du Havre, 9e;01 40 34 01 23;Lundi-Vendredi 12:00-15:00 / 19:00-02:00 Samedi-Dimanche 12h30-16h / 19h-2h;Rooftop;Toit du Printemps, jardin suspendu, bar intérieur.
LE BRACH;1-7 Rue Richepin, 16e;01 93 30 03 00;7/7 7h-23h;Rooftop;Jardin potager sur le toit, vue Tour Eiffel.
BAR SUR LE TOIT;24 rue cadet 75009;01 55 07 85 07;7/7 17h-1h ;Rooftop;Hôtel Rochechouart, vue Sacré-Cœur, sans résa.
DANICO;6 Rue Vivienne, 2e;01 42 21 93 71;7j/7  18h00 - 02h00;Cocktail Bar;Speakeasy élégant derrière une pizzeria, résa conseillée.
SERPENT À PLUME;24 Pl. des Vosges, 3e;01 45 31 77 83;mardi-samedi 11h-2h;Cocktail Bar;Grotte design, objets d'art, pyjamas de luxe.
CASTOR CLUB;14 Rue Hautefeuille, 6e;09 50 64 99 38;Mardi-mercredi 19h- 2h jeudi-samedi 19h-4h;Cocktail Bar;Speakeasy bois de rose, musique country, on danse.
LE 1905;25 Rue Beautreillis, 4e;01 42 72 64 94;Mardi-jeudi 18h00 - 23h55 vendredi-samedi 18h-2h;Cocktail Bar;Rétro, cosy, jazz au top, terrasse cachée.
HERBARIUM;243 Rue Saint-Martin, 3e;01 80 97 22 80;7j/7 19h00 - 02h00;Cocktail Bar;Mixologie florale (Hôtel National des Arts & Métiers).
CIE VINS SURNATURELS;7 Rue Lobineau, 6e;09 59 90 20 20;7j/7 18h00 - 01h00;Bar à Vin;"Près du Marché St-Germain, vin ""mystère"", privatisable."
LAVINIA PARIS;22 Av. Victor Hugo, 16e;01 42 97 20 20;Lundi-Samedi 11h00 - 20h00;Bar à Vin;Cave géante, dégustation sur place.
VINO SAPIENS;145 Rue St-Dominique, 7e;06 31 02 46 16;Mardi-dimanche 11h-22h dimanche 15h-22h;Bar à Vin;Maître caviste, terrasse, Masterclass.
LA CAVE PIGALLE;3 Rue Victor Massé, 9e;01 42 45 30 71;Lundi-Samedi : 11h00 - 20h30;Bar à Vin;Ateliers et dégustations, esprit quartier Pigalle.
BAR TALAE ARBORE;29 Rue de l’Arcade, 8e;01 88 32 74 27;Lundi-Samedi : 17h00 - 00h00;Chic;Contemporain et responsable (Hotel Bedford).